commonName,genus
Crimson topaz,Topaza
Fiery topaz,Topaza
White-necked jacobin,Florisuga
Black jacobin,Florisuga
White-tipped sicklebill,Eutoxeres
Buff-tailed sicklebill,Eutoxeres
Saw-billed hermit,Ramphodon
Hook-billed hermit,Glaucis
Bronzy hermit,Glaucis
Rufous-breasted hermit,Glaucis
Band-tailed barbthroat,Threnetes
Pale-tailed barbthroat,Threnetes
Sooty barbthroat,Threnetes
Broad-tipped hermit,Anopetia
Dusky-throated hermit,Phaethornis
Streak-throated hermit,Phaethornis
Little hermit,Phaethornis
Tapajos hermit,Phaethornis
Minute hermit,Phaethornis
Cinnamon-throated hermit,Phaethornis
Black-throated hermit,Phaethornis
Stripe-throated hermit,Phaethornis
Grey-chinned hermit,Phaethornis
Reddish hermit,Phaethornis
White-browed hermit,Phaethornis
Buff-bellied hermit,Phaethornis
Sooty-capped hermit,Phaethornis
Planalto hermit,Phaethornis
Scale-throated hermit,Phaethornis
Pale-bellied hermit,Phaethornis
White-bearded hermit,Phaethornis
White-whiskered hermit,Phaethornis
Green hermit,Phaethornis
Tawny-bellied hermit,Phaethornis
Koepcke's hermit,Phaethornis
Needle-billed hermit,Phaethornis
Straight-billed hermit,Phaethornis
Mexican hermit,Phaethornis
Long-billed hermit,Phaethornis
Long-tailed hermit,Phaethornis
Great-billed hermit,Phaethornis
Green-fronted lancebill,Doryfera
Blue-fronted lancebill,Doryfera
White-throated daggerbill,Schistes
Geoffroy's daggerbill,Schistes
Hyacinth visorbearer,Augastes
Hooded visorbearer,Augastes
Brown violetear,Colibri
Mexican violetear,Colibri
Lesser violetear,Colibri
Sparkling violetear,Colibri
White-vented violetear,Colibri
Tooth-billed hummingbird,Androdon
Horned sungem,Heliactin
Purple-crowned fairy,Heliothryx
Black-eared fairy,Heliothryx
White-tailed goldenthroat,Polytmus
Tepui goldenthroat,Polytmus
Green-tailed goldenthroat,Polytmus
Fiery-tailed awlbill,Avocettula
Ruby-topaz hummingbird,Chrysolampis
Jamaican mango,Anthracothorax
Green-throated mango,Anthracothorax
Green-breasted mango,Anthracothorax
Veraguan mango,Anthracothorax
Black-throated mango,Anthracothorax
Hispaniolan mango,Anthracothorax
Puerto Rican mango,Anthracothorax
Green mango,Anthracothorax
Green-throated carib,Eulampis
Purple-throated carib,Eulampis
Orange-throated sunangel,Heliangelus
Amethyst-throated sunangel,Heliangelus
Longuemare's sunangel,Heliangelus
Merida sunangel,Heliangelus
Gorgeted sunangel,Heliangelus
Tourmaline sunangel,Heliangelus
Flame-throated sunangel,Heliangelus
Purple-throated sunangel,Heliangelus
Royal sunangel,Heliangelus
Green-backed firecrown,Sephanoides
Juan Fernandez firecrown,Sephanoides
Green thorntail,Discosura
Wire-crested thorntail,Discosura
Black-bellied thorntail,Discosura
Letitia's thorntail,Discosura
Racket-tailed coquette,Discosura
Tufted coquette,Lophornis
Dot-eared coquette,Lophornis
Frilled coquette,Lophornis
Short-crested coquette,Lophornis
Rufous-crested coquette,Lophornis
Spangled coquette,Lophornis
Festive coquette,Lophornis
Butterfly coquette,Lophornis
Peacock coquette,Lophornis
Black-crested coquette,Lophornis
White-crested coquette,Lophornis
Ecuadorian piedtail,Phlogophilus
Peruvian piedtail,Phlogophilus
Speckled hummingbird,Adelomyia
Long-tailed sylph,Aglaiocercus
Violet-tailed sylph,Aglaiocercus
Venezuelan sylph,Aglaiocercus
Red-tailed comet,Sappho
Bronze-tailed comet,Polyonymus
Grey-bellied comet,Taphrolesbia
Andean hillstar,Oreotrochilus
White-sided hillstar,Oreotrochilus
Ecuadorian hillstar,Oreotrochilus
Blue-throated hillstar,Oreotrochilus
Green-headed hillstar,Oreotrochilus
Black-breasted hillstar,Oreotrochilus
Wedge-tailed hillstar,Oreotrochilus
Mountain avocetbill,Opisthoprora
Black-tailed trainbearer,Lesbia
Green-tailed trainbearer,Lesbia
Black-backed thornbill,Ramphomicron
Purple-backed thornbill,Ramphomicron
Bearded mountaineer,Oreonympha
Buffy helmetcrest,Oxypogon
Blue-bearded helmetcrest,Oxypogon
White-bearded helmetcrest,Oxypogon
Green-bearded helmetcrest,Oxypogon
Bronze-tailed thornbill,Chalcostigma
Rainbow-bearded thornbill,Chalcostigma
Rufous-capped thornbill,Chalcostigma
Olivaceous thornbill,Chalcostigma
Blue-mantled thornbill,Chalcostigma
Tyrian metaltail,Metallura
Perija metaltail,Metallura
Viridian metaltail,Metallura
Violet-throated metaltail,Metallura
Neblina metaltail,Metallura
Coppery metaltail,Metallura
Fiery-throated metaltail,Metallura
Scaled metaltail,Metallura
Black metaltail,Metallura
Greenish puffleg,Haplophaedia
Buff-thighed puffleg,Haplophaedia
Hoary puffleg,Haplophaedia
Black-breasted puffleg,Eriocnemis
Gorgeted puffleg,Eriocnemis
Glowing puffleg,Eriocnemis
Black-thighed puffleg,Eriocnemis
Turquoise-throated puffleg,Eriocnemis
Coppery-bellied puffleg,Eriocnemis
Sapphire-vented puffleg,Eriocnemis
Golden-breasted puffleg,Eriocnemis
Blue-capped puffleg,Eriocnemis
Colorful puffleg,Eriocnemis
Emerald-bellied puffleg,Eriocnemis
Marvelous spatuletail,Loddigesia
Shining sunbeam,Aglaeactis
White-tufted sunbeam,Aglaeactis
Purple-backed sunbeam,Aglaeactis
Black-hooded sunbeam,Aglaeactis
Bronzy inca,Coeligena
Brown inca,Coeligena
Black inca,Coeligena
Green inca,Coeligena
Collared inca,Coeligena
Gould's inca,Coeligena
Violet-throated starfrontlet,Coeligena
Rainbow starfrontlet,Coeligena
White-tailed starfrontlet,Coeligena
Dusky starfrontlet,Coeligena
Buff-winged starfrontlet,Coeligena
Perija starfrontlet,Coeligena
Golden-bellied starfrontlet,Coeligena
Golden-tailed starfrontlet,Coeligena
Blue-throated starfrontlet,Coeligena
Mountain velvetbreast,Lafresnaya
Sword-billed hummingbird,Ensifera
Great sapphirewing,Pterophanes
Buff-tailed coronet,Boissonneaua
Chestnut-breasted coronet,Boissonneaua
Velvet-purple coronet,Boissonneaua
