unique_name,BotWdiet.1,BotWdiet.2
Alectrurus tricolor,invertivore,
Antrostomus arizonae,invertivore,
Antrostomus rufus,invertivore,
Aphrastura spinicauda,invertivore,frugivore
Aramus guarauna,aquaticinvertivore,
Asthenes griseomurina,invertivore,
Asthenes humicola,,
Asthenes humilis,invertivore,granivore
Asthenes virgata,invertivore,
Atthis ellioti,,
Campylorhamphus pusillus,invertivore,
Caprimulgus badius,invertivore,
Caprimulgus candicans,invertivore,
Charadrius semipalmatus,aquaticinvertivore,invertivore
Charitospiza eucosma,frugivore,invertivore
Chloroceryle amazona,,
Chrysomus cyanopus,invertivore,granivore
Cinnycerthia unirufa,invertivore,
Culicivora caudacuta,invertivore,granivore
Cyanocitta stelleri,omnivore,
Cyanoloxia brissonii,,
Cyphorhinus arada,invertivore,frugivore
Cypsnagra hirundinacea,invertivore,frugivore
Deconychura stictolaema,invertivore,
Dendrocygna viduata,granivore,aquaticinvertivore
Diglossopis caerulescens,,
Diglossopis cyanea,,
Dixiphia pipra,,
Dromococcyx pavoninus,invertivore,
Dumetella carolinensis,frugivore,invertivore
Eugralla paradoxa,invertivore,
Euscarthmus meloryphus,invertivore,frugivore
Fluvicola pica,invertivore,
Gymnoderus foetidus,frugivore,invertivore
Gymnomystax mexicanus,omnivore,
Gymnopithys leucaspis,invertivore,carnivore
Hellmayrea gularis,invertivore,
Helmitheros vermivorum,invertivore,
Henicorhina leucosticta,,
Heterocercus flavivertex,frugivore,invertivore
Heterocercus linteatus,frugivore,invertivore
Hylocryptus rectirostris,,
Inezia inornata,invertivore,
Inezia subflava,invertivore,
Ixobrychus exilis,piscivore,carnivore
Junco phaeonotus,invertivore,granivore
Laterallus ruber,invertivore,
Lathrotriccus euleri,invertivore,
Leiothlypis celata,invertivore,frugivore
Leiothlypis peregrina,invertivore,frugivore
Leptotila jamaicensis,granivore,aquaticinvertivore
Leptotila megalura,,
Leptotila pallida,,
Leptotila plumbeiceps,,
Machaeropterus regulus,frugivore,
Masius chrysopterus,frugivore,invertivore
Melanerpes hoffmannii,invertivore,frugivore
Melanerpes pygmaeus,,
Melanerpes santacruzi,,
Melanoptila glabrirostris,invertivore,
Melozone biarcuatum,,
Melozone leucotis,omnivore,
Mitrephanes phaeocercus,invertivore,
Myiodynastes maculatus,invertivore,frugivore
Myiornis atricapillus,invertivore,
Myrmeciza hyperythra,,
Myrmelastes leucostigma,invertivore,carnivore
Myrmelastes schistaceus,invertivore,
Myrmotherula hauxwelli,invertivore,carnivore
Neopipo cinnamomea,invertivore,
Neothraupis fasciata,omnivore,
Nephelomyias lintoni,invertivore,granivore
Notiochelidon flavipes,invertivore,
Notiochelidon murina,invertivore,
Nyctibius griseus,,
Oreothlypis ruficapilla,invertivore,
Paroaria capitata,omnivore,
Peucedramus taeniatus,invertivore,
Pezopetes capitalis,omnivore,
Phimosus infuscatus,invertivore,aquaticinvertivore
Phylloscartes ophthalmicus,,
Picoides fumigatus,,
Pittasoma michleri,invertivore,carnivore
Poecile sclateri,invertivore,
Porphyrio martinica,omnivore,
Porphyrospiza caerulescens,,
Porzana albicollis,,
Pselliophorus tibialis,,
Pseudocolaptes boissonneautii,invertivore,carnivore
Pseudoseisura cristata,invertivore,
Pseudotriccus ruficeps,invertivore,
Pteroptochos castaneus,invertivore,granivore
Pygarrhichas albogularis,invertivore,
Ramphocelus sanguinolentus,frugivore,invertivore
Rhodinocichla rosea,invertivore,granivore
Sapayoa aenigma,frugivore,invertivore
Scardafella squammata,,
Schizoeaca fuliginosa,invertivore,granivore
Schoeniophylax phryganophilus,invertivore,
Semnornis frantzii,frugivore,
Sicalis citrina,granivore,invertivore
Spindalis zena,frugivore,
Spinus magellanicus,granivore,
Spiza americana,invertivore,granivore
Sporophila angolensis,granivore,invertivore
Sylviorthorhynchus desmursii,invertivore,
Systellura longirostris,invertivore,
Tachornis squamata,invertivore,
Thlypopsis ornata,invertivore,
Tyrannopsis sulphurea,invertivore,frugivore
Uropsalis segmentata,invertivore,
Xolmis pyrope,,
