reference no	contributor	enterer	created	authors	year	title	source	editors	volume	number	first page	lastpage	source type	language	DOI	sampled entered	comments
394	John Alroy	John Alroy	2014-04-04 12:12:14	F. Barragán, C. Lorenzo, A. Morón, M. A. Briones-Salas, S. López	2010	Bat and rodent diversity in a fragmented landscape on the Isthmus of Tehuantepec, Oaxaca, Mexico	Tropical Conservation Science		3	1	1	16	article	English		a few	
395	John Alroy	John Alroy	2014-04-04 12:22:21	C. L. Hice, P. M. Velazco, M. R. Willig	2004	Bats of the Reserva Nacional Allpahuayo-Mishana, northeastern Peru, with notes on community structure	Acta Chiropterologica		6	2	319	334	article	English		the only one	
396	John Alroy	John Alroy	2014-04-04 14:15:47	M. Zortéa, C. J. R. Alho	2008	Bat diversity of a Cerrado habitat in central Brazil	Biodiversity and Conservation		17		791	805	article	English		the only one	
397	John Alroy	John Alroy	2014-04-04 14:34:23	M. A. Mares, D. E. Wilson	1971	Bat reproduction during the Costa Rican dry season	BioScience		21	10	471	477	article	English		a few	
399	John Alroy	John Alroy	2014-04-04 17:32:59	A. Estrada, R. Coates-Estrada	2001	Species composition and reproductive phenology of bats in a tropical landscape at Los Tuxtlas, Mexico	Journal of Tropical Ecology		17		627	646	article	English		a few	
400	John Alroy	John Alroy	2014-04-04 20:06:57	S. Montiel, A. Estrada, P. León	2006	Bat assemblages in a naturally fragmented ecosystem in the Yucatan Peninsula, Mexico: species richness, diversity and spatio-temporal dynamics	Journal of Tropical Ecology		22		267	276	article	English		one of several	
402	John Alroy	John Alroy	2014-04-04 20:23:25	B. K. Lim, M. D. Engstrom	2005	Mammals of Iwokrama Forest	Proceedings of the Academy of Natural Sciences of Philadelphia		154		71	108	article	English		one of several	
403	John Alroy	John Alroy	2014-04-04 20:34:00	W. A. Pedro, V. A. Taddei	1997	Taxonomic assemblage of bats from Panga Reserve, southeastern Brazil: abundance patterns and trophic relations in the Phyllostomidae (Chiroptera)	Boletim do Museu de Biologia Mello Leitão		6		3	21	article	English		one of several	
404	John Alroy	John Alroy	2014-04-04 20:43:06	E. C. Lourenço, L. M. Costa, R. M. Silva, C. E. L. Esbérard	2010	Bat diversity of Ilha da Marambaia, Southern Rio de Janeiro State, Brazil (Chiroptera, Mammalia)	Brazilian Journal of Biology		70	3	511	519	article	English	dx.doi.org/10.1590/S1519-69842010000300007 	the only one	
405	John Alroy	John Alroy	2014-04-04 20:52:51	E. K. V. Kalko, C. O. Handley Jr	2001	Neotropical bats in the canopy: diversity, community structure, and implications for conservation	Plant Ecology		153		319	333	article	English		the only one	
406	John Alroy	John Alroy	2014-04-06 07:42:26	E. Bernard	2001	Species list of bats (Mammalia, Chiroptera) of Santarem area, Para State, Brazil	Revista Brasileira de Zoologia		18	2	455	463	article	English		the only one	
407	John Alroy	John Alroy	2014-04-06 17:16:30	E. Bernard	2002	Diet, activity and reproduction of bat species (Mammalia, Chiroptera) in Central Amazonia, Brazil	Revista Brasileira de Zoologia		19	1	173	188	article	English	dx.doi.org/10.1590/S0101-81752002000100016	the only one	
408	John Alroy	John Alroy	2014-04-06 17:30:42	L. F. Aguirre	2002	Structure of a Neotropical savanna bat community	Journal of Mammalogy		83	3	775	784	article	English		the only one	
409	John Alroy	John Alroy	2014-04-06 20:10:41	D. Faria, J. Baumgarten	2007	Shade cacao plantations (Theobroma cacao) and bat conservation in southern Bahia, Brazil	Biodiversity and Conservation		16		291	312	article	English		all of them	
422	John Alroy	John Alroy	2014-04-08 17:05:59	I. Vleut, S. I. Levy-Tacher, W. F. de Boer, J. Galindo-González, L.-B. Vazquez	2013	Tropical secondary forest management influences frugivorous bat composition, abundance and fruit consumption in Chiapas, Mexico	PLOS One		8	10	1	10	article	English	10.1371/journal.pone.0077584	all of them	
427	John Alroy	John Alroy	2014-04-11 22:00:50	J. Ballesteros, J. Racero-Casarrubia	2012	Murciélagos del área urbana en la ciudad de Montería, Córdoba - Colombia	Revista Medicina Veterinaria y Zootecnia Córdoba		17	3	3193	3199	article	Spanish		the only one	
429	John Alroy	John Alroy	2014-04-12 13:41:11	H. M. ter Hofstede, M. B. Fenton, J. O. Whitaker Jr	2004	Host and host-site specificity of bat flies (Diptera: Streblidae and Nycteribiidae) on Neotropical bats (Chiroptera)	Canadian Journal of Zoology		82		616	626	article	English	10.1139/Z04-030	the only one	
435	John Alroy	John Alroy	2014-04-12 16:25:34	Y. Bai, S. Recuenco, A. T. Gilbert, L. M. Osikowicz, J. Gómez, C. Rupprecht, M. Y. Kosoy	2012	Prevalence and diversity of Bartonella spp. in bats in Peru	American Journal of Tropical Medicine and Hygiene		87	3	518	523	article	English		all of them	
437	John Alroy	John Alroy	2014-04-12 17:19:59	M. Salas-Rojas, C. Sánchez-Hernández, M. de Lourdes Romero-Almaraz, G. D. Schnell, R. Kretschmer Schmid, A. Aguilar-Setién	2004	Prevalence of rabies and LPM paramyxovirus antibody in non-hematophagous bats captured in the Central Pacific coast of Mexico	Transactions of the Royal Society of Tropical Medicine and Hygiene		98		577	584	article	English		the only one	
440	John Alroy	John Alroy	2014-04-13 18:20:16	A. Meachem Rick	1968	Notes on bats from Tikal, Guatemala	Journal of Mammalogy		49	3	516	520	article	English		the only one	
446	John Alroy	John Alroy	2014-04-14 12:52:03	M. de Moraes Weber, J. L. Steindorff de Arruda, B. Oliveira Azambuja, V. L. Camilotti, N. C. Cáceres	2011	Resources partitioning in a fruit bat community of the southern Atlantic Forest, Brazil	Mammalia		75		217	225	article	English		all of them	
447	John Alroy	John Alroy	2014-04-14 13:06:20	F. Dantas-Torres, F. A. M. Soares, C. E. B. P. Ribeiro, M. R. M. Daher, G. C. Valença, M. P. Valim	2009	Mites (Mesostigmata: Spinturnicidae and Spelaeorhynchidae) associated with bats in northeast Brazil	Journal of Medical Entomology		46	3	712	715	article	English		the only one	
448	John Alroy	John Alroy	2014-04-14 13:19:15	S. S. P. da Silva, P. G. Guedes, A. R. Camardella, A. L. Peracchi	2004	Survey of bats (Mammalia, Chiroptera), with comments on reproduction status, in Serra das Almas Private Heritage Reserve, in the state of Ceará, northwestern of Brazil	Chiroptera Neotropical		10	1-2	191	195	article	English		the only one	
449	John Alroy	John Alroy	2014-04-14 14:23:25	M. J. R. Pereira, J. T. Marques, J. M. Palmeirim	2010	Vertical stratification of bat assemblages in flooded and unflooded Amazonian forests	Current Zoology		56	4	469	478	article	English		one of several	
451	John Alroy	John Alroy	2014-04-16 14:21:27	A. Estrada, R. Coates-Estrada, D. Meritt Jr	1993	Bat species richness and abundance in tropical rain forest fragments and in agricultural habitats at Los Tuxtlas, Mexico	Ecography		16	4	309	318	article	English		a few	
457	John Alroy	John Alroy	2014-04-17 17:38:22	L. L. Sheeler-Gordon, J. S. Smith	2001	Survey of bat populations from Mexico and Paraguay for rabies	Journal of Wildlife Diseases		37	3	582	593	article	English		a few	
462	John Alroy	John Alroy	2014-04-17 20:47:49	R. L. Shapley, D. E. Wilson, A. N. Warren, A. A. Barnett	2005	Bats of the Potaro Plateau region, western Guyana	Mammalia		69	3-4	375	394	article	English		one of several	
