reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	region	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	fragment size	protection	disturbance	MAT	CMT	WMT	MAP	life form	genus	qualifier	species	count	count 2	relative abundance	count per day	mass (g)	comments
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Pteronotus		davyi	1		0.002618	0.055556	8.06369423391333	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Micronycteris		microtis	14		0.036649	0.777778	6.01986798463889	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Phyllostomus		discolor	6		0.015707	0.333333	40.2673453811731	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Leptonycteris		curasoae	7		0.018325	0.388889	22.6000160498117	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Choeroniscus		godmani	10		0.026178	0.555556	9.86075872745043	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Uroderma		bilobatum	19		0.049738	1.055556	18.0654208695227	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Vampyressa		thyone	5		0.013089	0.277778	8	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Enchisthenes		hartii	1		0.002618	0.055556	16.1969572977053	
394	736	John Alroy	John Alroy	2014-04-04 12:16:48	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Artibeus		intermedius	15		0.039267	0.833333	54.4	
394	736	John Alroy	John Alroy	2014-04-04 12:16:49	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Artibeus		jamaicensis	32		0.083770	1.777778	47.9632754555873	
394	736	John Alroy	John Alroy	2014-04-04 12:16:49	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Artibeus		lituratus	71		0.185864	3.944444	68.4610967423968	
394	736	John Alroy	John Alroy	2014-04-04 12:16:49	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Centurio		senex	8		0.020942	0.444444	18.9569065372534	
394	736	John Alroy	John Alroy	2014-04-04 12:16:49	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.400009	-94.633347	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	bats	Myotis		fortidens	2		0.005236	0.111111	5.3661123815039	
395	737	John Alroy	John Alroy	2014-04-04 12:30:40	Reserva Nacional Allpahuayo-Mishana	Peru		Neotropic	South America		-3.966677	-73.416679	120	meters	tropical/subtropical moist broadleaf forest					26.000			2800.0	bats	Centronycteris		maximiliani	1		0.000258		5.37049749321971	
395	737	John Alroy	John Alroy	2014-04-04 12:30:40	Reserva Nacional Allpahuayo-Mishana	Peru		Neotropic	South America		-3.966677	-73.416679	120	meters	tropical/subtropical moist broadleaf forest					26.000			2800.0	bats	Peropteryx		leucoptera	2		0.000516		6	
