reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	region	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	fragment size	protection	disturbance	MAT	CMT	WMT	MAP	nets or traps	net or trap nights	site area	basal area	mass per species (g)	mass per individual (g)	individuals	richness	singletons	dominance	top 2 species	Fisher's alpha	geometric series k	Shannon's H	Hurlbert's PIE	Good's u
394	736	John Alroy	John Alroy	2014-04-04 12:16:08	El Rancho (bats)	Mexico	Oaxaca	Neotropic	Central America	continent	16.40	-94.63	100	meters	tropical/subtropical dry broadleaf forest	secondary forest				27.600			932.0	3	18			17.84	33.91	382	26	4	0.186	0.372	6.312	0.8432	2.6966	0.9021	0.9896
395	737	John Alroy	John Alroy	2014-04-04 12:30:06	Reserva Nacional Allpahuayo-Mishana	Peru		Neotropic	South America		-3.97	-73.42	120	meters	tropical/subtropical moist broadleaf forest					26.000			2800.0					15.83	20.08	3874	122	16	0.215	0.430	23.960	0.9459	3.2454	0.8979	0.9959
396	738	John Alroy	John Alroy	2014-04-04 14:21:13	Pousada das Araras	Brazil	Goiás	Neotropic	South America		-18.42	-52.00	600	meters	tropical/subtropical savanna					23.7	19.800	27.600	1241.0					19.48	18.73	1516	50	10	0.150	0.301	9.931	0.8951	2.9042	0.9193	0.9934
397	739	John Alroy	John Alroy	2014-04-04 16:22:17	Cañas	Costa Rica	Guanacaste	Neotropic	Central America		10.43	-85.10			tropical/subtropical dry broadleaf forest					23.6	22.300	24.900	1700.0					16.92	30.85	702	44	10	0.135	0.271	10.413	0.8995	2.9567	0.9246	0.9858
397	740	John Alroy	John Alroy	2014-04-04 17:20:39	Rincón de Osa	Costa Rica	Puntarenas	Neotropic	Central America		8.55	-83.50			tropical/subtropical moist broadleaf forest					25.000			6000.0					18.95	18.60	620	48	18	0.113	0.226	12.145	0.9136	3.1293	0.9417	0.9710
399	742	John Alroy	John Alroy	2014-04-04 17:36:46	Los Tuxtlas Biological Research Station (forest fragment bats)	Mexico	Veracruz	Neotropic	Central America	continent	18.42	-95.00	150	meters	tropical/subtropical moist broadleaf forest	fragment	10 - 100 ha	biosphere reserve		27.000			4900.0		208			18.07	19.76	4196	74	4	0.114	0.229	12.762	0.9189	3.2660	0.9412	0.9990
400	743	John Alroy	John Alroy	2014-04-04 20:11:33	Biosphere Reserve Los Petenes (large forest islands)	Mexico	Yucatan	Neotropic	Central America	continent	20.45	-90.48			tropical/subtropical dry broadleaf forest	fragment		biosphere reserve		26.000	23.500	29.200	819.0		66			20.30	27.14	1256	34	4	0.128	0.256	6.442	0.8573	2.6824	0.9095	0.9968
402	745	John Alroy	John Alroy	2014-04-04 20:29:09	Burro-Burro River	Guyana		Neotropic	South America		4.73	-58.85	90	meters	tropical/subtropical moist broadleaf forest					20.55	18.600	22.500	1740.0					18.23	26.21	996	84	22	0.096	0.193	21.874	0.9465	3.5033	0.9512	0.9779
403	746	John Alroy	John Alroy	2014-04-04 20:37:16	Panga Ecological Reserve	Brazil	Minas Gerais	Neotropic	South America		-19.17	-48.39	800	meters	tropical/subtropical dry broadleaf forest					22.95	21.000	24.900	1847.0		141			20.98	19.21	356	26	6	0.140	0.281	6.455	0.8551	2.5414	0.8985	0.9832
404	747	John Alroy	John Alroy	2014-04-04 20:48:33	Ilha da Marambaia	Brazil	Rio de Janeiro	Neotropic	South America		-23.07	-43.88			tropical/subtropical dry broadleaf forest	secondary forest				24.55	16.800	32.300	1240.0					18.98	25.18	2266	68	16	0.117	0.235	13.200	0.9200	3.2791	0.9434	0.9929
405	748	John Alroy	John Alroy	2014-04-04 20:59:27	Area de Pesquisas Ecológicas do Guamá	Brazil	Pará	Neotropic	South America		-1.45	-48.50			tropical/subtropical wetland					24.9	24.000	25.800	3374.0		1620			16.45	33.66	3706	98	16	0.158	0.316	18.467	0.9364	3.0557	0.9150	0.9957
406	749	John Alroy	John Alroy	2014-04-06 17:10:13	Alter do Chão	Brazil	Pará	Neotropic	South America		-2.41	-54.71			tropical/subtropical dry broadleaf forest					25.4	24.400	26.400	2000.0	10	290			16.99	22.36	1240	78	16	0.140	0.281	18.479	0.9352	3.3207	0.9361	0.9871
407	750	John Alroy	John Alroy	2014-04-06 17:19:56	Biological Dynamics of Forest Fragments Project Reserves 1501 and 1401	Brazil	Amazonas	Neotropic	South America	continent	-2.41	-59.73	78	meters	tropical/subtropical moist broadleaf forest					26.700	26.000	28.000	2500.0		283			16.33	20.10	1872	102	22	0.145	0.290	23.157	0.9460	3.3177	0.9290	0.9883
