species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	forearm length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source
Ametrida centurio	bat	35	4	4	0.0000	4	7.76	18.50	4.7	-2.4	-48.5	-59.7	20.55	26.700	1740.0	3374.0	0.008958	0.004552	0.010847	0.022326	0.024573	0.014149	0.011400	LC	10.5	19	species														frugivore		species
Anoura caudifer	bat	147	28	82	0.2927	21	17.25	84.73	10.4	-24.3	-39.1	-75.8	14.500	24.600	1140.0	5942.0	0.012247	0.011615	0.010009	0.028148	0.103448	0.003344	0.036369	LC	10.5986856167848	14	species														nectarivore		species
Anoura cultrata	bat	4	2	5	0.0000	2	21.18	21.56	10.4	-10.1	-68.8	-75.6	22.600	22.600	2300.0	2300.0	0.010417	0.011049	0.011719	0.011719	0.015625	0.000000	0.020942	NT	16.1077925155893	4	species			18.7	1										nectarivore		species
Anoura geoffroyi	bat	219	25	119	0.1765	23	30.01	130.20	21.4	-23.1	-37.7	-100.5	14.500	27.1	573.0	5942.0	0.017056	0.009913	0.008152	0.033654	0.204082	0.004222	0.021386	LC	12.8160617036213	17	species	14.5	1												nectarivore		species
Antrozous pallidus	bat	1	1			1			21.4	21.4	-100.5	-100.5	16.000	16.000	332.0	332.0	0.009709	0.009709	0.009709	0.009709	0.009709		0.000928	LC	16.4825607192897	34	species	26.4249881740749	2	16	10										invertivore		species
Artibeus anderseni	bat	17	6	13	0.2308	6	12.36	29.62	4.4	-17.1	-65.5	-75.6	20.400	26.000	2000.0	5942.0	0.003298	0.003043	0.003683	0.006153	0.011719	0.002418	0.006071		15.0640602471868	7	species						35	45	10	18.2	11			5.8	frugivore		species
Artibeus aztecus	bat	16	4	4	0.2500	4	2.28	5.55	21.4	19.6	-96.9	-100.5	16.000	23.000	332.0	2036.0	0.046784	0.048257	0.043259	0.065088	0.081633	0.038012	0.007347		21.4	15	species														frugivore		species
Artibeus bogotensis	bat	28	5	5	0.4000	2	0.98	1.43	10.4	10.4	-67.3	-68.8	14.500	14.500	1250.0	1250.0	0.027424	0.031568	0.014368	0.129032	0.215385	0.024486	0.065882		30.5349209291421		genus														frugivore		species
Artibeus cinereus	bat	575	23	72	0.2778	19	20.10	99.23	8.6	-22.6	-35.1	-83.5	20.55	27.000	573.0	6000.0	0.044183	0.033443	0.051282	0.083741	0.240246	0.019710	0.099716		11.1188184253693	35	species														frugivore		species
Artibeus concolor	bat	222	5	5	0.2000	5	9.97	26.46	4.7	-4.2	-54.7	-73.4	20.55	26.700	1740.0	2800.0	0.052358	0.017969	0.020968	0.036145	0.198718	0.102000	0.298663	LC	21.5	19	species														frugivore		species
Artibeus fimbriatus	bat	1215	24	46	0.4348	19	9.00	45.44	-5.2	-30.3	-37.0	-56.6	18.7	27.1	872.0	1946.0	0.099387	0.034018	0.044250	0.119414	0.320697	0.065389	0.256337	LC	62.3462556589449	5	species														frugivore		species
Artibeus fraterculus	bat	328	1			1			-3.8	-3.8	-80.3	-80.3			1450.0	1450.0	0.421053	0.421053	0.421053	0.421053	0.421053			LC	30.5349209291421		genus														frugivore		genus
Artibeus glaucus	bat	77	10	25	0.2400	7	13.71	46.94	4.9	-17.1	-58.7	-77.1	15.200	27.3	1077.0	5942.0	0.013120	0.015192	0.013430	0.028689	0.067989	0.006199	0.055604		12.0682276391274	10	species					16	37.5	59		19				5.9	frugivore		species
Artibeus gnomus	bat	134	14	26	0.3846	10	17.47	69.95	4.7	-15.3	-39.1	-73.4	20.55	29.500	1500.0	3374.0	0.014930	0.018304	0.016557	0.037405	0.129032	0.009857	0.023776		11.7855384188075	21	species														frugivore		species
