reference no	contributor	enterer	created	authors	year	title	source	editors	volume	number	first page	lastpage	source type	language	DOI	sampled entered	comments
708	John Alroy	John Alroy	2014-08-15 20:23:18	J. W. Graber, R. R. Graber	1959	Winter observations of birds in Oaxaca, Mexico	Southwestern Naturalist		4	2	66	82	article	English		the only one	
712	John Alroy	John Alroy	2014-08-16 14:12:06	J. R. Karr	1971	Structure of avian communities in selected Panama and Illinois habitats	Ecological Monographs		41	3	207	233	article	English		all of them	
719	John Alroy	John Alroy	2014-08-17 11:11:28	G. S. Spicer	1984	Nasal mites from birds of a Guatemalan cloud forest (Acarina: Rhinonyssidae)	Journal of Parasitology		70	5	794	802	article	English		the only one	
724	John Alroy	John Alroy	2014-08-17 17:07:38	D. J. Levey	1988	Tropical wet forest treefall gaps and distributions of understory birds and plants	Ecology		69	4	1076	1089	article	English		all of them	
728	John Alroy	John Alroy	2014-08-19 13:32:28	G. I. Andrade, H. Rubio-Torgler	1994	Sustainable use of the tropical rain forest: evidence from the avifauna in a shifting-cultivation habitat mosaic in the Colombian Amazon	Conservation Biology		8	2	545	554	article	English		the only one	
734	John Alroy	John Alroy	2014-08-21 15:47:09	J. M. Wunderle Jr, M. R. Willig, L. Magalli Pinto Henriques	2005	Avian distribution in treefall gaps and understorey of terra firme forest in the lowland Amazon	Ibis		147		109	129	article	English		all of them	
739	John Alroy	John Alroy	2014-08-22 14:30:46	C. Verea, A. Solórzano	2011	Avifauna asociada al sotobosque musgoso del Pico Guacamaya, Parque Nacional Henri Pittier, Venezuela	Interciencia		36	5	324	330	article	Spanish		the only one	
740	John Alroy	John Alroy	2014-08-22 14:43:40	C. Verea, F. Antón, A. Solórzano	2010	Avifauna de una plantación de banano del norte de Venezuela	Bioagro		22	1	43	52	article	Spanish		all of them	
756	John Alroy	John Alroy	2014-08-25 14:37:40	A. Ibarra-Macias, W. D. Robinson, M. S. Gaines	2011	Forest corridors facilitate movement of tropical forest birds after experimental translocations in a fragmented Neotropical landscape in Mexico	Journal of Tropical Ecology		27	5	547	556	article	English		all of them	
757	John Alroy	John Alroy	2014-08-25 15:18:38	A. Fecchio, M. Robalinho Lima, M. Svensson-Coelho, M. A. Marini, R. E. Ricklefs	2013	Structure and organization of an avian haemosporidian assemblage in a Neotropical savanna in Brazil	Parasitology		140	2	181	192	article	English		the only one	
758	John Alroy	John Alroy	2014-08-25 19:57:50	D. W. Schemske, N. Brokaw	1981	Treefalls and the distribution of understory birds in a tropical forest	Ecology		62	4	938	945	article	English		all of them	
764	John Alroy	John Alroy	2014-08-26 17:25:46	A. Mijares, R. Rosales, A. Silva-Iturriza	2012	Hemosporidian parasites in forest birds from Venezuela: genetic lineage analyses	Avian Diseases		56	3	583	588	article	English	dx.doi.org/10.1637/10058-011312-ResNote.1	the only one	
765	John Alroy	John Alroy	2014-08-27 09:38:40	L. R. Malizia	2001	Seasonal fluctuations of birds, fruits, and flowers in a subtropical forest of Argentina	Condor		103	1	45	61	article	English	dx.doi.org/10.1650/0010-5422(2001)103[0045:SFOBFA]2.0.CO;2	all of them	
771	John Alroy	John Alroy	2014-08-28 11:44:26	E. I. Johnson, P. C. Stouffer, C. F. Vargas	2011	Diversity, biomass, and trophic structure of a central amazonian rainforest bird community	Revista Brasileira de Ornitologia		19	1	1	16	article	English		the only one	
772	John Alroy	John Alroy	2014-08-28 20:02:45	J. G. Blake, M. Rougès	1997	Variation in capture rates of understory birds in El Rey National Park, northwestern Argentina	Ornitologia Neotropical		8		185	193	article	English		one of several	
773	John Alroy	John Alroy	2014-08-28 20:21:28	M. Ogrzewalska, D. G. Saraiva, J. Moraes-Filho, T. F. Martins, F. B. Costa, A. Pinter, M. B. Labruna	2012	Epidemiology of Brazilian spotted fever in the Atlantic Forest, state of São Paulo, Brazil	Parasitology		139		1283	1300	article	English		the only one	SMALL MAMMAL DATA NOT ENTERED
774	John Alroy	John Alroy	2014-08-28 21:01:24	J. Hawes, J. Barlow, T. A. Gardner, C. A. Peres	2008	The value of forest strips for understorey birds in an Amazonian plantation landscape	Biological Conservation		141	9	2262	2278	article	English		one of several	
