reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	region	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	fragment size	protection	disturbance	MAT	CMT	WMT	MAP	life form	genus	qualifier	species	count	count 2	relative abundance	count per day	mass (g)	comments
708	1025	John Alroy	John Alroy	2014-08-15 20:34:26	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Habia		gutturalis	12		0.063830	0.200000		
708	1025	John Alroy	John Alroy	2014-08-15 20:34:26	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Henicorhina		leucosticta	9		0.047872	0.150000	14.8	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:26	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Seiurus		aurocapilla	6		0.031915	0.100000	18.8	"Seiurus aurocapillus"
708	1025	John Alroy	John Alroy	2014-08-15 20:34:26	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Oporornis		formosus	5		0.026596	0.083333	14	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:26	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Phaethornis		superciliosus	4		0.021277	0.066667	6.3	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:26	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Myiobius		sulphureipygius	4		0.021277	0.066667	11.9	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:26	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Thryothorus		maculipectus	3		0.015957	0.050000	16.2	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:27	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Wilsonia		pusilla	3		0.015957	0.050000	7.09929573971954	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:27	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Pipra		mentalis	3		0.015957	0.050000	15	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:27	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Automolus		ochrolaemus	3		0.015957	0.050000	40.2	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:27	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Myiopagis		viridicata	3		0.015957	0.050000	11.5180033070122	
708	1025	John Alroy	John Alroy	2014-08-15 20:34:27	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.133343	-95.066673			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	birds	Amblycercus		holosericeus	3		0.015957	0.050000	68.0205851195063	
