reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	region	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	fragment size	protection	disturbance	MAT	CMT	WMT	MAP	nets or traps	net or trap nights	site area	basal area	mass per species (g)	mass per individual (g)	individuals	richness	singletons	dominance	top 2 species	Fisher's alpha	geometric series k	Shannon's H	Hurlbert's PIE	Good's u
708	1025	John Alroy	John Alroy	2014-08-15 20:31:55	Palomares	Mexico	Oaxaca	Neotropic	Central America		17.13	-95.07			tropical/subtropical moist broadleaf forest					28.4	26.600	30.200	1050.0	6	60			22.94	19.68	188	72	26	0.064	0.128	42.664	0.9656	3.9980	0.9753	0.8628
712	1029	John Alroy	John Alroy	2014-08-16 14:15:41	Chiva Chiva Road (early shrub)	Panama		Neotropic	Central America		9.04	-79.58			tropical/subtropical savanna				recent fire	27.000			2000.0					18.55	16.11	86	48	30	0.081	0.163	44.796	0.9594	3.6175	0.9636	0.6544
712	1030	John Alroy	John Alroy	2014-08-16 14:20:55	Chiva Chiva Road (late shrub)	Panama		Neotropic	Central America		9.04	-79.58			tropical/subtropical savanna				recent fire	27.000			2000.0					18.86	16.87	448	98	16	0.047	0.094	38.712	0.9691	4.2984	0.9827	0.9645
712	1031	John Alroy	John Alroy	2014-08-16 15:40:56	Pipeline Road	Panama		Neotropic	Central America		9.16	-79.74			tropical/subtropical moist broadleaf forest				recent fire	27.000			2600.0					21.35	17.69	840	126	36	0.118	0.236	41.110	0.9639	4.0911	0.9628	0.9572
719	1039	John Alroy	John Alroy	2014-08-17 11:17:55	Purulha	Guatemala	Baja Verapaz	Neotropic	Central America		15.27	-90.20			tropical/subtropical moist broadleaf forest													16.33	15.15	156	36	10	0.109	0.218	14.671	0.9222	3.2468	0.9487	0.9362
724	1047	John Alroy	John Alroy	2014-08-17 17:10:11	La Selva Biological Station (gap)	Costa Rica		Neotropic	Central America		10.43	-83.98			tropical/subtropical moist broadleaf forest					26.000			4260.0	25	1200			22.76	15.45	1994	154	38	0.078	0.155	38.935	0.9676	4.1103	0.9714	0.9810
724	1048	John Alroy	John Alroy	2014-08-17 17:24:58	La Selva Biological Station (intact forest)	Costa Rica		Neotropic	Central America		10.43	-83.98			tropical/subtropical moist broadleaf forest					26.000			4260.0	25	1200			21.01	16.55	1274	120	30	0.099	0.198	32.481	0.9602	3.7959	0.9552	0.9765
728	1054	John Alroy	John Alroy	2014-08-19 13:50:04	Mirití Paraná River	Colombia		Neotropic	South America		-0.60	-71.00			tropical/subtropical moist broadleaf forest	secondary forest				24.000			3500.0					20.38	16.21	1748	206	78	0.071	0.142	60.683	0.9768	4.3782	0.9765	0.9554
734	1061	John Alroy	John Alroy	2014-08-21 15:57:37	Tapajós National Forest (gap)	Brazil	Pará	Neotropic	South America		-3.36	-54.95			tropical/subtropical moist broadleaf forest			national/state forest		25.05	24.300	25.800	1920.0	24	1536			23.40	14.45	2508	216	72	0.037	0.074	56.654	0.9791	4.5313	0.9831	0.9713
734	1062	John Alroy	John Alroy	2014-08-21 16:07:57	Tapajós National Forest (forest)	Brazil	Pará	Neotropic	South America		-3.36	-54.95			tropical/subtropical moist broadleaf forest			national/state forest		25.05	24.300	25.800	1920.0	24	1536			26.45	18.15	1920	166	34	0.046	0.092	43.598	0.9732	4.3788	0.9804	0.9823
