species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Abeillia abeillei	bird	2	1			1			15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.002774	0.002774	0.002774	0.002774	0.002774		0.013333	LC	2.7	1	species														
Accipiter bicolor	bird	2	2	9	0.0000	2	24.30	25.95	-3.4	-27.2	-54.9	-65.6	18.800	25.05	1700.0	1920.0	0.000842	0.000858	0.000874	0.000874	0.001042	0.000000	0.000936	LC	212	1	species					carnivore		species							
Accipiter striatus	bird	8	5	44	0.0455	4	18.51	38.89	20.1	-4.3	-73.7	-98.4	13.6	25.6	1107.0	1873.0	0.005025	0.006886	0.007353	0.013986	0.015625	0.000312	0.007812	LC	98.8670824895729	2	species					carnivore		species							
Accipiter superciliosus	bird	1	1			1			-2.4	-2.4	-59.7	-59.7	26.700	26.700	2500.0	2500.0	0.001592	0.001592	0.001592	0.001592	0.001592		0.000744	LC	73.9	1	species					carnivore		species							
Acrochordopus burmeisteri	bird	1	1			1			-27.2	-27.2	-65.6	-65.6	18.800	18.800	1700.0	1700.0	0.000706	0.000706	0.000706	0.000706	0.000706		0.001667									invertivore		species							
Actitis macularius	bird	2	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.000522	0.000522	0.000522	0.000522	0.000522			LC	40.4	1	species					invertivore		species							
Adelomyia melanogenys	bird	177	7	9	0.4444	5	10.60	22.45	10.4	-7.4	-67.7	-79.0	13.000	16.800	895.0	2630.0	0.077632	0.082996	0.102703	0.107737	0.200000	0.041692	0.134498	LC	4.9376107582514	2	species					nectarivore	invertivore	species							
Agelasticus cyanopus	bird	1	1			1			-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.005348	0.005348	0.005348	0.005348	0.005348		0.008065	LC																	
Aglaeactis castelnaudii	bird	6	1			1			-14.1	-14.1	-73.0	-73.0	11.7	11.7	677.0	677.0	0.042254	0.042254	0.042254	0.042254	0.042254			LC	6.7	1	species														
Aglaeactis cupripennis	bird	11	1			1			-7.4	-7.4	-78.8	-78.8	15.45	15.45	895.0	895.0	0.018900	0.018900	0.018900	0.018900	0.018900		0.056122	LC	7.6	1	species														
Aglaiocercus kingi	bird	43	1			1			10.4	10.4	-67.7	-67.7	15.500	15.500	1700.0	1700.0	0.116216	0.116216	0.116216	0.116216	0.116216		0.286667		5.1	1	species					nectarivore	invertivore	species							
Agriornis livida	bird	1	1			1			-33.4	-33.4	-70.5	-70.5	14.800	14.800	434.0	434.0	0.005181	0.005181	0.005181	0.005181	0.005181		0.009091									carnivore		species							
Alectrurus tricolor	bird	1	1			1			-21.8	-21.8	-46.6	-46.6	19.5	19.5	1500.0	1500.0	0.001957	0.001957	0.001957	0.001957	0.001957		0.002786	VU	16	1	species														
